"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"[20] Muhammad bin Al-Hasan bin Ahmad Al-Ahwaazee informed us, saying: I heard Eezdiyaar bin Sulaymaan As-Sooree say: I heard Muhammad bin Al-Mundhir say: I heard Sahl bin 'Abdillaah say:","20 - ___________ _________ ____ _________ ____ ________ ________________ _____: ________ _____________ ____ ___________ ____________ _______: ________ _________ ____ ____________ _______: ________ ______ ____ ______ ________ _______:"
"""All of knowledge is worldly. But the part of it that is for the Hereafter is acting upon it.""","«_________ _______ ________ ____________ ______ _________ ____»"
"[21] Abu Muhammad Al-Hasan bin Muhammad bin Al-Hasan Al-Khallaal and Abul- Hasan Ahmad bin Muhammad bin Ahmad Al-'Ateeqee both narrated to me, saying: Abul-Mufdil Muhammad bin 'Abdillaah Ash-Shaybaanee narrated to us, saying: I heard 'Abdul-Kareem bin Kaamil bin Rawh As-Sawaaf say: I heard Sahl bin 'Abdillaah At-Tustaree say:","21 - ___________ _____ _________ _________ ____ _________ ____ _________ ____________ _______ _________ ________ ____ _________ ____ ________ ____________ _____ _________ “___________ _______ _________ ___________ _____ ____________ _________ ____ ______ _______ ________________ _____: ________ ______ __________ ____ _______ ____ ______ ____________ _______: ________ ______ ____ ______ _______ _______________ _______:"
"""All of mankind is in a drunken state except for the scholars. And all of the scholars are in a confused state except for those who act upon their knowledge.""","«________ _________ ________ ______ _____________ ______________ _________ ________ ______ ____ ______ __________»"
"[22]  Abu 'Alee 'Abdur-Rahmaan bin Muhammad bin Ahmad bin Fadaalah, the Haafidh, An-Naisapuree informed me in Rayy, saying: Abu Ahmad Al-Ghitreefee informed us: Abu Sa'eed Bakr bin Ahmad bin Sa'adawaih Al-'Abdee narrated to us in Basrah, saying: Sahl bin 'Abdillaah said:","22 - ___________ _____ _______ ______ ___________ ____ _________ ____ ________ ____ _________ __________ ___________________ __________ _____: _____ _____ ________ ________________ ___ _____ _______ ______ ____ ________ ____ ____________ ____________ _____________ _____: _____ ______ ____ ______ _______:"
"""The worldly life is ignorance and lifelessness except for knowledge. And all knowledge is a proof (against you) except for that which is acted upon. And all actions are floating particles of dust (i.e. invalid) except those done with sincerity (i.e. for the sake of Allaah). So sincerity is of extreme consequence such that the action becomes complete with it.""","«__________ ______ _________ ______ __________ ___________ _______ _______ ______ _________ _____ ___________ _______ _______ ______ _____________ ______________ _____ ______ _______ ______ ________ ____»"
"[23] Al-Hasan bin Al-Husayn An-Na'aalee informed us: Ahmad bin Nasr Adh-Dhiraa' narrated to us in Nahrawaan: Abul-Hasan 'Alee bin Nasrawaih narrated to me, saying: I heard Husayn bin Bishr As-Saaboone say: I heard Sahl bin 'Abdillaah say:","23 - ___________ _________ ____ ___________ ______________ _____ ________ ____ ______ ___________ ________________ __________ _____ _________ _______ ____ ____________ _____: ________ ________ ____ _______ _______: ________ ______ ____ ______ ________ _______:"
"""Knowledge is one of the pleasures of this worldly life. But when one acts on it, it then becomes for the Hereafter.""","«_________ ______ ________ ___________ _______ ______ ____ _____ ___________»"
"[24] Abul-Qaasim 'Abdul-Kareem bin Hawaazin Al-Qushayree An-Naisapuree informed us, saying: I heard Muhammad bin Al-Husayn As-Sulamee say: I heard Abu Bakr Ar-Raazee say: I heard Al-Khawaas say:","24 - ___________ _____ __________ ______ __________ ____ _________ ______________ ___________________ _____: ________ _________ ____ ___________ _____________ _______: ________ _____ ______ ____________ _______: ________ ____________ _______:"
"""Knowledge is not based on reporting many narrations. Rather, the one with (true) knowledge is only he who seeks after the knowledge implements it and follows the aspects of the Sunnah - even if he only has a little knowledge.""","«______ _________ __________ _____________ __________ __________ ____ ________ _________ ________________ __________ ____________ ______ _____ _______ _________»"
"[25] Abu Hafs 'Umar bin Muhammad bin 'Alee bin 'Atiyyah Al-Makke informed us, saying: Yoosuf bin 'Umar bin Masroor Abul-Fat' h Al-Qawaas narrated to us: Ahmad bin 'Alee narrated to us: Ziyaad bin Ayoob narrated to us: Ahmad bin Abee Al- Hawaaree narrated to us, saying: 'Abbaas bin Ahmad narrated to me concerning the ayah:","25 - ___________ _____ ______ ______ ____ _________ ____ _______ ____ _________ ____________ _____: ___ _______ ____ ______ ____ _________ _____ _________ ____________ ___ ________ ____ ________ ___ _______ ____ _________ ___ ________ ____ _____ ______________ _____: __________ ________ ____ _________ ___ ________ ________"
"""And those who strive for Our sake, We will surely guide them to Our paths"": 
""Those who act upon what they know, We will surely guide them to (knowledge of) what they don't know.""",""" {___________ _________ ______ _________________ _________} [________: 69] ________. _____: _________ ___________ _____ ___________ ___________ _____ ___ ___ ___________"""
"[26] Abul-Husayn Ahmad bin 'Alee bin Al-Husayn Ath-Thawree informed me Abu 'Abdir-Rahmaan Muhammad bin Al-Husayn An-Naisapuree narrated to us, saying: I heard Abu Bakr Ar-Raazee say: Yoosuf bin Al-Hussayn said:","26 - ___________ _____ ___________ ________ ____ _______ ____ ___________ ___________ _____ _____ ______ ___________ _________ ____ ___________ __________________ _____: ________ _____ ______ ____________ _______: _____ _______ ____ ___________:"
"""There are two forms of transgression in the world: The transgression of knowledge and the transgression of wealth. That which will save you from the transgression of knowledge is worship. And that which will save you from the transgression of wealth is renouncing it.""",""" ___ __________ ____________: _________ _________ ___________ _________ _________ __________ ____ _________ _________ _____________ _________ __________ ____ _________ ________ _________ _____"""
"[27] Yoosuf also said: ""With good manners, you will understand knowledge. With knowledge, you will correct your actions. With actions, you will attain wisdom. With wisdom, you will comprehend zuhd (renouncing of the worldly life) and be granted it. With zuhd, you will abandon the worldly life. With abandonment of the worldly life, you will long for the Hereafter. And with longing for the Hereafter, you will achieve Allaah's Contentment.""","27- _______ _______: «___________ ________ __________ _____________ _______ ____ __________ _____________ _______ ____________ _______________ ________ _________ ___________ _____ _____________ ________ ___________ __________ __________ ________ ___ ___________ _______________ ___ __________ _______ _____ _______ _____ _______»"
"[28] Muhammad bin Al-Husayn bin Muhammad Al-Mintawthee informed me, saying: Ja'far bin Muhammad bin Nusayr Al-Khaldee mentioned that Abul-'Abbaas Al-Hawlaanee informed him, saying: I heard Abul-Qaasim Al-Junayd said:","28 - ___________ _________ ____ ___________ ____ _________ _______________ _____: ______ ________ ____ _________ ____ ________ __________ ______ _____ ___________ _______________ ___________ _____: ________ _____ __________ ____________ _______:"
"""When you desire to be honoured by knowledge and to be ascribed to it and to be from its people before giving the knowledge what right it has over you (from action), its light becomes veiled from you and all that remains upon you is its mark and appearance. That knowledge is against you not for you. This is since knowledge directs to implementing it. So if knowledge is not implemented in its due stages, its blessings depart.""","«_____ ________ ____ _________ ___________ __________ ________ _________ ____ ________ ______ ____ _______ _________ ___ ____ _________ _________ ______ _______ ________ ________ ________ ____________ ______ _________ ________ ___ _____ ________ _____ _________ _______ _____ _______________ _______ ____ ____________ _________ ___ ___________ ________ ___________»"
"[29] Abul-Husayn Ahmad bin Al-Husayn bin Ahmad, the Admonisher, informed us, saying: I heard Abu 'Abdillaah Ar-Roodhabaaree say:","29 - ___________ _____ ___________ ________ ____ ___________ ____ ________ __________ _____: ________ _____ ______ _______ _________________ _______:"
"""Whoever goes out towards knowledge, intending (just to obtain) the knowledge, knowledge doesn't benefit him. And whoever goes out towards knowledge, intending to act upon the knowledge, knowledge benefits him - even if it's a little.""","«____ ______ _____ _________ _______ _________ ____ __________ __________ ______ ______ _____ _________ _______ _________ ___________ ________ _______ _________»"
"[30] He also said: I heard Abu 'Abdillaah Ar-Roodhabaaree say: ""Knowledge is dependent upon action, and action is dependent upon sincerity. And doing things sincerely for the sake of Allaah produces understanding of Allaah, the Mighty and Sublime.""","30- _____: __________ _____ ______ _______ _________________ _______: «_________ _________ _____ __________ ___________ _________ _____ _____________ ______________ _______ _________ _________ ____ _______ _____ _______»"
"[31] Al-Hasan bin Abee Bakr bin Shaadhaan informed us, saying: Abul-Hasan 'Alee bin Muhammad bin Az-Zubayr Al-Koofee reported to us: Al-Hasan bin 'Alee bin 'Affaan narrated to us: Zayd bin Al-Habaab narrated to us that Hafs bin Sulaymaan - that is how it is in my writings from Ibn Shaadhaan, and perhaps he is Ja'far bin Sulaymaan - said: I heard Maalik bin Deenaar say:","31 - ___________ _________ ____ _____ ______ ____ _________ _____: _____ _____ _________ _______ ____ _________ ____ ___________ ____________ ___ _________ ____ _______ ____ _________ ___ ______ ____ ___________ ____ ______ ____ ____________ _____ ___ _________ ____ _____ _________ ____________ ________ ____ ____________ _____: ________ _______ ____ _________ _______:"
"""Verily, when the servant seeks knowledge in order to act upon it, his knowledge humbles him. And when he seeks it for a reason other than that, he increases in wickedness or pride.""","«_____ _________ _____ ______ _________ __________ ________ _________ _______ ________ ________ ______ ________ ____ ________ ____ _______»"
"[32] Abu 'Abdillaah Muhammad bin 'Abdil-Waahid bin Muhammad bin Ja'far informed us: ' Abdul-'Azccz bin Ja'far AI-Khiracjee narrated to us: Ubaydullah bin A'yun narrated to us: Ishaaq bin Abee Israa'eel narrated to us: Ja'far bin Sulaymaan narrated to us, saying: I heard Maalik bin Deenar say:","32 - ___________ _____ ______ _______ _________ ____ ______ __________ ____ _________ _________ ___ ______ __________ ____ ________ _____________ ___ ________ _______ ____ _________ ___ _________ ____ _____ _____________ ___ ________ ____ ____________ _____: ________ _______ ____ _________ _______:"
"""Whoever acquires knowledge in order to act on it, his knowledge humbles him, And whoever seeks it for a purpose other than to act on it, it increases him in arrogance.""","«____ _________ _________ __________ ________ _________ ______ ________ ________ _________ _______ _______»"
"[33] Muhammad bin Ahmad bin Rizq informed us, saying: Ja'far bin Muhammad bin Nusayr AI-Khaldee reported to us, saying: Muhammad bin 'Abdillaah bin Sulaymaan Al-Hadramee narrated to us: Sa'eed bin 'Amr narrated to us, saying: Ja'far bin Sulaymaan narrated to us, saying: I heard Maalik bin Deenaar say:","33 - ___________ _________ ____ ________ ____ _______ _____: _____ ________ ____ _________ ____ ________ _____________ _____: ___ _________ ____ ______ _______ ____ ___________ _______________ ___ _______ ____ ________ _____: ___ ________ ____ ____________ _____: _____ _______ ____ ________:"
