ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"We believe, too, that the Qur'an is the uncreated Word of God, and that he who believes the Qur'an is created is an infidel.","ونقول: إن كلام الله غير مخلوق، وأن من قال بخلق القرآن فهو كافر."
"We hold that God will be seen in the next world by sight (as the moon is seen on the night it is full, so shall the faithful see Him, as we are told in the traditions that come down on the authority of God’s Apostle);","وندين بأن الله يُرى في الآخرة بالأبصار، كما يُرى القمر ليلة البدر، يراه المؤمنون كما جاءت الروايات عن رسول الله صلى الله عليه وسلم."
"and we believe that the infidels will be veiled from Him when the faithful see Him in Paradise (as God has said, “Yea, they shall be shut out as by a veil from their Lord on that day”);","ونقول: إن الكافرين محجوبون عنه إذا رآه المؤمنون في الجنة، كما قال سبحانه: (كلا إنهم عن ربهم يومئذ لمحجوبون) (15 /83)، "
"and that Moses asked God for the sight of Him in this world, and “God manifested Himself to the mountain” and “turned it to dust,” and taught Moses by it that he should not see Him in this world.","وإن موسى صلى الله عليه وسلم سأل الله عز وجل الرؤية في الدنيا، وأن الله تعالى تجلى للجبل فجعله دكا، فأعلم بذلك موسى أنه لا يراه في الدنيا."
"It is our opinion that we ought not to declare a single one of the people of the qiblah an infidel for a sin of which he is guilty, such as fornication or theft or the drinking of wine, as the Harijites hold, thinking that such people are infidels; but we believe that he who commits any of these mortal sins, such as fornication or theft or the like, presumptuously declaring it lawful and not acknowledging that it is forbidden, is an infidel.","وندين بأن لا نكفر أحدا من أهل القبلة بذنب يرتكبه ما لم يستحله، كالزنا والسرقة وشرب الخمر، كما دانت بذلك الخوارج، وزعمت أنهم كافرون. ونقول: إن من عمل كبيرة من هذه الكبائر مثل الزنا والسرقة وما أشبهها مستحلا لها، غير معتقد لتحريمها كان كافرا."
,
"We believe that Islam is more extensive than faith, and that faith is not the whole of Islam.","ونقول: إن الإسلام أوسع من الإيمان، وليس كل إسلام إيمانا."
"We hold that God changes men’s hearts, and that their hearts are between two of God’s fingers, and that God will place the heavens on a finger and the earth on a finger, as we are told in the tradition that comes down on the authority of God’s Apostle,","وندين الله عز وجل بأنه يقلب القلوب بين أصبعين من أصابعه، وأنه سبحانه يضع السماوات على أصبع، والأرضين على أصبع، كما جاءت الرواية عن رسول الله صلى الله عليه وسلم من غير تكييف."
"We hold that we ought not to relegate any of the monotheists, or those who hold fast to the faith, to Paradise or to Hell, save him in whose favor the Apostle of God has borne witness concerning Paradise;","وندين بأن لا ننزل أحدا من أهل التوحيد والمتمسكين بالإيمان جنة ولا نارا، إلا من شهد له رسول الله صلى الله عليه وسلم بالجنة، "
,
"and we hope that sinners will attain to Paradise, but we fear that they will be punished in Hell.","ونرجو الجنة للمذنبين، ونخاف عليهم أن يكونوا بالنار معذبين، "
سقطمنالنسخة,أجارنا الله منها بشفاعة سيدنا وحبيبنا رسول الله صلى الله عليه وسلم.
"We believe that God, by the intercession of Muhammad, God’s Apostle, will bring forth a people from Hell after they have been burned to ashes, in accordance with what we are told in the traditions related on the authority of God’s Apostle.","ونقول: إن الله عز وجل يخرج قوما من النار بعد أن امتحشوا بشفاعة رسول الله صلى الله عليه وسلم، تصديقا لما جاءت به الروايات عن رسول الله صلى الله عليه وسلم."
"We believe in the punishment of the grave, and in the Pool, and hold that the Scales are real, and the Bridge is real, and the resurrection after death is real, and that God will line up human beings at the Station, and settle the account with the faithful.","ونؤمن بعذاب القبر وبالحوض، وأن الميزان حق، والصراط حق، والبعث بعد الموت حق، وأن الله عز وجل يوقف العباد في الموقف، ويحاسب المؤمنين."
,
"We believe that faith consists of words and deeds, and is subject to increase and decrease;","وأن الإيمان قول وعمل، يزيد وينقص،"
"and we receive the authentic traditions regarding it related on the authority of the Apostle of God, which the trustworthy have transmitted, one just man from another, until the tradition goes back to the Apostle of God.","ونسلم الروايات الصحيحة عن رسول الله صلى الله عليه وسلم التي رواها الثقات عدل عن عدل، حتى تنتهي إلى رسول الله صلى الله عليه وسلم."
,
"We believe in affection towards our forebears in the faith, whom God chose for the company of His Prophet, and we praise them with the praise wherewith God praised them, and are attached to them all.","وندين بحب السلف الذين اختارهم الله تعالى لصحبة نبيه صلى الله عليه وسلم، ونثني عليهم بما أثنى الله به عليهم، ونتولاهم أجمعين."
