"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"This all indicates that no one other than God’s Emissary may pronounce on the law except by means of inference, as I have just described, or on what makes someone just such that they may be appointed a witness, or on the legal equivalent of game wrongly killed. Neither may anyone express opinions based on subjective interpretation, since to do so is to pronounce according to mere preference, something that is simply invented and not based on a prior example.","وهذا يدل على أنه ليس لأحد دون رسول الله أن يقول إلا بالاستدلال بما وصفت في هذا، وفي العَدل، وفي جزاء الصيد، ولا يقول بما استحسن، فإن القول بما استحسن شيءٌ يُحدِثه لا على مثالٍ سبق"
He also commanded them to appoint two just persons as witnesses. A just person is one who practices obedience to God. They had ways to know when a person was just and when not.,"فأمرهم أن يُشهدوا ذوَي عدل، والعدل: أن يعمل بطاعة الله، فكان لهم السبيلُ إلى علم العدل والذي يخالفه."
"This has all been discussed in its proper place, and I have only mentioned it here in a general way, hopeful that it will indicate the underlying point for this and similar issues.","وقد وُضِع هذا في موضعه، وقد وضعت جملاً منه رجوت أن تدل على ما وراءها مما في مثل معناها."
Chapter on the First Kind of Legislative Statement,"باب البيان الأول
"
"God (blessed and exalted) said, concerning one who makes both pilgrimages at the same time: «Whoever combines the Minor Pilgrimage with the Major Pilgrimage shall give whatever offerings are convenient. Those who do not find any—a fast of three days during the Major Pilgrimage and seven when you have returned; that is ten complete days in all. That is for those whose families are not present at the Sacred Mosque.»","قال الله تبارك وتعالى في المتمتع: (فمن تمتع بالعمرة إلى الحج فما استيسر من الهدي فمن لم يجد فصيام ثلاثة أيام في الحج، وسبعة إذا رجعتم. تلك عشَرَة كاملة. ذلك لمن لم يكن أهله حاضري المسجدِ الحرام) (البقرة 196)"
"It is clear to those addressed by this verse that the fast is the three days during the Pilgrimage and the seven during the return, making ten complete days.","فكان بيِّناً عند مَن خوطب بهذه الآية أن صوم الثلاثة في الحج، والسبع في المَرجِع عشرةُ أيام كاملة.
"
"God said: “That is ten complete days in all.” This phrase could be an additional clarification, or it could be that He informed them that three, when added to seven, makes ten complete days in all.","قال الله: (تلك عشرة كاملة) فاحتملت أن تكون زيادةً في التبيين، واحتملت أن يكون أعلَمَهُم أن ثلاثة إذا جُمعت إلى سبع كانت عشرة كاملة."
God also said: «And when We made an appointment of thirty nights for Moses and rounded them off with ten more; and the full period of his Lord was forty nights.»,"وقال الله: (وواعدنا موسى ثلاثين ليلة، وأتممناها بعشر، فتم ميقات ربه أربعين ليلة) (الأعراف 142)"
"It is quite clear to those addressed by this verse that thirty and ten makes forty nights. His saying “forty nights” could have either of the meanings that the preceding verse had: that if thirty are added to ten they make forty, or that the additional information could be for clarification.","فكان بيِّنا عند من خوطب بهذه الآية أن ثلاثين، وعشراً أربعون ليلة. وقوله: (أربعين ليلة) يحتمل ما احتملت الآية قبلها: من أن تكون: إذا جُمعت ثلاثون إلى عشر كانت أربعين، وأن تكون زيادة في التبيين."
"In addition, God said: «Fasting is prescribed for you, as it was prescribed for those who were before you, so that you may be God-fearing. For a fixed number of days. Those of you who are sick or on a journey, a number of other days»","وقال الله: (كُتب عليكم الصيام كما كتب على الذين من قبلكم لعلكم تتقون. أياماً معدودات، فمن كان منكم مريضا، أو على سفر فعدة من أيام أُخَرَ) (البقرة 183 - 184)
"
"and «The month of Ramadan, in which the Recitation was sent down as a guidance to the people and as clear proofs of the guidance and of the salvation. Let those of you who witness the month fast during it. Those of you who are sick or on a journey, a number of other days.»","وقال: (شهر رمضان الذي أنزل فيه القُرَآن هدى للناس وبيناتٍ من الهدى والفرقان، فمن شهد منكم الشهر فليصمه، ومن كان مريضاً أو على سفر، فعِدَّة من أيام أخر) (البقرة 185)
"
"He obligated them to fast, then clarified that it was for a month—a month for them was the period of time between two crescent moons, which might be thirty or twenty-nine days.","فافترض عليهم الصومَ، ثم بيَّن أنه شهر، والشهر عندهم ما بين الهلالين، وقد يكون ثلاثين، وتسعاً وعشرين. [ص:28]
"
"So the indication in this verse is like the indication in the other two verses, but in the two previous verses there was an additional clarification of the sum of the numbers.","فكانت الدلالة في هذا كالدلالة في الآيتين، وكان في الآيتين قبله: في ابن جماعة ((زيادةٌ تبيِّن جماع العدد)).
"
"Most likely, the point of the additional clarification is to indicate the sum of the numbers, seven and three and thirty and ten, respectively. It is considered an additional clarification because they already know what those two numbers and their sum are, just as they already know what the month of Ramadan is.","وأشبهُ الأمور بزيادة تبيين جُملة العدد في السبع، والثلاث، وفي الثلاثين والعشر: أن تكون زيادةً في التبيين؛ لأنهم لم يزالوا يعرفون هذين العددين وجماعة، كما لم يزالوا يعرفون شهر رمضان.
"
