THE,كتاب الأموال
It is concerning them that God laid down the verses:,فَأَنْزَلَ اللَّهُ عَزَّ وَجَلَّ فِيهِمْ: {سَبَّحَ لِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ وَهُوَ الْعَزِيزُ الْحَكِيمْ هُوَ الَّذِي أَخْرَجَ الَّذِينَ كَفَرُوا مِنْ أَهْلِ الْكِتَابِ مِنْ دِيَارِهِمْ لِأَوَّلِ الْحَشْرِ} [الحشر: 2] إِلَى قَوْلِهِ عَزَّ وَجَلَّ: {وَلِيُخْزِيَ الْفَاسِقِينَ} [الحشر: 5]
"Whatever is in the heavens and on earth, let it declare the praises and glory of God: for He is the Exalted in Might, the Wise. It is He Who got out the unbelievers among the People of the Book from their homes at the first gathering (of the forces). Little did ye think that they would get out: and they thought that their fortresses would defend them from God! But the (wrath of) God came to them from quarters from which they little expected (it), and cast terror into their hearts, so that they destroyed their dwellings by their own hands and the hands of the believers. Take warning, then, O ye with eyes (to sec)! And had it not been that God had decreed banishment for them, He would certainly have punished them in this world: and in the hereafter they shall (certainly) have the punishment of the fire. That is because they resisted God and His Messenger: And if anyone resists God, verily God is severe in punishment. Whether ye cut down (0 ye Muslims!) the tender palm trees, or ye left them standing on their roots, it was by leave of God, and in order that He might cover with shame the rebellious transgressors.”""",
"(19) He said: 'Abd Allah ibn Salih related to us from al-Layth ibn Sa'd from 'Uqayl ibn Khalid from Ibn Shihab “that the incident of the Jews of Banu al-Nadir occurred six months after the Battle of Badr, and their houses and palm groves were on the outskirts of Madina. ","19 - قَالَ: وَحَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ بْنِ سَعْدٍ، عَنْ عُقَيْلِ بْنِ خَالِدٍ، عَنِ ابْنِ شِهَابٍ: «أَنَّ وَقِيعَةَ بَنِي النَّضِيرِ، مِنَ الْيَهُودِ كَانَتْ عَلَى رَأْسِ سِتَّةِ أَشْهُرٍ مِنْ وَقِيعَةِ بَدْرٍ، وَكَانَ مَنْزِلُهُمْ وَنَخْلُهُمْ نَاحِيَةً مِنَ الْمَدِينَةِ"
The Messenger of God (pbuh) continued the siege till they agreed upon exile.” ,فَحَاصَرَهُمْ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ حَتَّى نَزَلُوا عَلَى الْجَلَاءِ» 
He then mentioned a tradition similar to that of Ibn Kathir from Ma'mar.,"ثُمَّ ذَكَرَ مِثْلَ حَدِيثِ مُحَمَّدِ بْنِ كَثِيرٍ، عَنْ مَعْمَرٍ"
"(20) He said: Hajjaj ibn Muhammad related to me from Ibn Jurayj from Musa ibn 'Uqba from Nafi' from Ibn 'Umar, who said: “The Messenger of God (pbuh) caused some of the palm trees of Banu al-Nadir to be burned and some to be cut.” ","20 - قَالَ: وَحَدَّثَنَا حَجَّاجُ بْنُ مُحَمَّدٍ، عَنِ ابْنِ جُرَيْجٍ، عَنْ مُوسَى بْنِ عُقْبَةَ، عَنْ نَافِعٍ، عَنِ ابْنِ عُمَرَ، قَالَ: «أَحْرَقَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ نَخْلَ بَنِي النَّضِيرِ وَقَطَعَ» "
,
"In this regard Hassan ibn Thabit says (in the hemistich): “For the chieftains of Banu Lu’y, the rapidly spreading fire of Buwayra was easy.”",وَلَهَا يَقُولُ حَسَّانُ بْنُ ثَابِتٍ:
,[البحر الوافر]
,لَهَانَ عَلَى سَرَاةِ بَنِي لُؤَيٍّ ... حَرِيقٌ بِالْبُوَيْرَةِ مُسْتَطِيرُ
"(21) He said: Abu al-Nadr related to us from al-Layth ibn Sa'd, who related on the authority of Nafi' from Ibn 'Umar, who said: “The Messenger of God (pbuh) burned the palm groves of Banu al-Nadir and cut them down, and this was at Buwayra. ","21 - قَالَ وَحَدَّثَنَا أَبُو النَّضْرِ، عَنِ اللَّيْثِ بْنِ سَعْدِ، قَالَ: حَدَّثَنِي نَافِعٌ، عَنِ ابْنِ عُمَرَ، قَالَ: "" أَحْرَقَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ نَخْلَ بَنِي النَّضِيرِ، وَقَطَعَ، وَهِيَ الْبُوَيْرَةُ"
"It was then that the verse was revealed: ‘Whether ye cut down (0 ye Muslims!) the tender palm trees, or ye left them standing on their roots, it was by leave of God, and in order that He might cover with shame the rebellious transgressors.’","فَنَزَلَتْ فِيهِمْ: {مَا قَطَعْتُمْ مِنْ لِينَةٍ أَوْ تَرَكْتُمُوهَا قَائِمَةً عَلَى أُصُولِهَا فَبِإِذْنِ اللَّهِ وَلِيُخْزِيَ الْفَاسِقِينَ} [الحشر: 5] """
"(22) He said: Hushaym related to us from Sa'id ibn Jubayr, who said: “I asked Ibn 'Abbas - or he was asked about surat al-Hashr - and he said: ‘It was revealed in the case of BanU al-Nadir.’”","22 - قَالَ حَدَّثَنَا هُشَيْمٌ، عَنْ سَعِيدِ بْنِ جُبَيْرِ، قَالَ: سَأَلْتُ ابْنَ عَبَّاسٍ أَوْ سُئِلَ عَنْ سُورَةِ الْحَشْرِ، فَقَالَ: نَزَلَتْ فِي بَنِي النَّضِيرِ "
"AbU 'Ubayd said: This is what was laid down about them (that is, Banu al-Nadir).",قَالَ أَبُو عُبَيْدٍ: هَذَا مَا جَاءَ فِي أُولَئِكَ
The Share of the Prophet (pbuh) in the Wealth of Fadak,سقطمنالنسخة
"(23) As for Fadak, Isma'il ibn Ibrahim related to us from Ayyub from al-Zuhri about the words of the Exalted: “What God has bestowed on His Messenger","23 - وَأَمَّا فَدَكُ فَإِنَّ إِسْمَاعِيلَ بْنَ إِبْرَاهِيمَ حَدَّثَنَا، عَنْ أَيُّوبَ، عَنِ الزُّهْرِيِّ، فِي قَوْلِهِ: {فَمَا أَوْجَفْتُمْ عَلَيْهِ مِنْ خَيْلٍ وَلَا رِكَابٍ} [الحشر: 6] فَقَالَ: "" هَذِهِ لِرَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ خَاصَّةً: قُرًى عَرَبِيَّةٌ: فَدَكٌ وَكَذَا "" قَالَ أَبُو عُبَيْدٍ: وَهِيَ فِي الْعَرَبِيَّةِ قُرًى عَرَبِيَّةٌ بِتَنْوِينٍ، إِلَّا أَنْ يَكُونَ كَمَا قَالُوا: دَارُ الْآخِرَةِ وَصَلَاةُ الْأُولَى، وَالْمُحَدِّثُونَ يَقُولُونَ: قُرًى عَرَبِيَّةٌ، بِغَيْرِ تَنْوِينٍ"
"(and taken away) from them - for this ye made no expedition with either cavalry or camelry: but God gives power to His messengers over any He pleases: and God has power over all things”** - saying that this was for the Messenger of God exclusively - that is, the villages of Arabiyya, like Fadak.",
"Abu 'Ubayd said: It is the “villages of Arabiyyatun” in Arabic with nunnation, except when it is like dar al-akhira or $alat al-iila. The Traditionists say the “villages of ‘Arabiyya”, without nunnation.",
"(24) He said: ‘Abd Allah ibn Salih related to us from al-Layth ibn Sa<d from Yahya ibn Sa‘id, who said: “The residents of Fadak sent (delegates) to the Messenger of God (pbuh) and settled upon the sparing of their lives and half of their lands and palm groves, the other half of the lands and palm groves being for the Messenger of God (pbuh). ","24 - قَالَ وَحَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنِ اللَّيْثِ بْنِ سَعْدٍ، عَنْ يَحْيَى بْنِ سَعِيدٍ، قَالَ: كَانَ أَهْلُ فَدَكٍ قَدْ أَرْسَلُوا إِلَى رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فَبَايَعُوهُ عَلَى أَنَّ لَهُمْ رِقَابَهُمْ وَنِصْفَ أَرَضِيهِمْ وَنَخْلِهِمْ، وَلِرَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ شَطْرَ أَرَضِيهِمْ وَنَخْلِهِمْ "" "
"When 'Umar, God have mercy on him, exiled them, he sent with them a valuator for the valuation of their land who paid them accordingly.”","فَلَمَّا أَجْلَاهُمْ عُمَرُ رَحِمَهُ اللَّهِ بَعَثَ مَعَهُمْ مَنْ أَقَامَ لَهُمْ حَظَّهُمْ مِنَ الْأَرْضِ وَالنَّخْلِ، فَأَدَّاهُ إِلَيْهِمْ"
"(25) He said: Sa‘id ibn ‘Ufayr al-Mi§rI related to us from Malik ibn Anas — Abu 'Ubayd said, “I do not know of his mentioning Ibn Shihab or of what he said”: “When Tlmar ibn al-Khattab exiled the Jews of Khaybar, they departed owning nothing of the fruit or land, but the Jews of Fadak owned half the land as the Messenger of God had settled this with them.","25 - قَالَ وَحَدَّثَنَا سَعِيدُ بْنُ عُفَيْرٍ الْمِصْرِيُّ، عَنْ مَالِكِ بْنِ أَنَسٍ - قَالَ أَبُو عُبَيْدٍ: لَا أَدْرِي ذِكْرَهُ عَنِ ابْنِ شِهَابٍ أَمْ لَا - قَالَ: أَجْلَى عُمَرُ بْنُ الْخَطَّابِ يَهُودَ خَيْبَرَ، فَخَرَجُوا مِنْهَا لَيْسَ لَهُمْ مِنَ الثَّمَرِ وَالْأَرْضِ شَيْءٌ، فَأَمَّا يَهُودُ فَدَكٍ فَكَانَ لَهُمْ نِصْفُ الْأَرْضِ، لِأَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَ صَالَحَهُمْ عَلَى ذَلِكَ، "
"'Umar, God have mercy on him, had their half of the produce and their half of the land valuated for them - because the Messenger of God had (already) agreed to leave with them their gold, silver, camels, and saddles — and then paid them its value and exiled them.”","فَأَقَامَ لَهُمْ عُمَرُ رَحِمَهُ اللَّهُ نِصْفَ الثَّمَرِ وَنِصْفَ الْأَرْضِ لِأَنَّ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ كَانَ صَالَحَهُمْ مِنْ ذَهَبٍ وَوَرِقٍ وَإِبِلٍ وَأَقْتَابٍ، ثُمَّ أَعْطَاهُمُ الْقِيمَةَ وَأَجْلَاهُمْ"
"Abu 'Ubayd said: The residents of Khaybar did not have any share in the produce or the land as Khaybar was taken by force of arms and, therefore, belonged to the Muslims, with nothing left for the Jews. ","قَالَ أَبُو عُبَيْدٍ: إِنَّمَا صَارَ أَهْلُ خَيْبَرَ لَا حَظَّ لَهُمْ فِي الْأَرْضِ وَالثَّمَرِ لِأَنَّ خَيْبَرَ أُخِذَتْ عَنْوَةً فَكَانَتْ لِلْمُسْلِمِينَ، لَا شَيْءَ لِلْيَهُودِ فِيهَا "
"As for Fadak, it remained according to the terms of the settlement. ",وَأَمَّا فَدَكُ فَكَانَتْ عَلَى مَا جَاءَ فِيهَا مِنَ الصُّلْحِ 
"When they received the value of the rest of the land, it was converted entirely for the Messenger of God (pbuh). It is for this reason that al-‘Abbas and ‘Ali, peace be upon them, discussed it.",فَلَمَّا أَخَذُوا قِيمَةَ بَقِيَّةِ أَرْضِهِمْ خَلَصَتْ كُلُّهَا لِرَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَلِهَذَا تَكَلَّمَ الْعَبَّاسُ وَعَلِيٌّ عَلَيْهِمَا السَّلَامُ فِيهَا
,"26 - حَدَّثَنَا يَحْيَى بْنُ بُكَيْرٍ، وَعَبْدِ اللَّهِ بْنِ صَالِحٍ، عَنِ اللَّيْثِ بْنِ سَعْدٍ، حَدَّثَنِي عُقَيْلٌ، عَنِ ابْنِ شِهَابٍ، قَالَ: أَخْبَرَنِي مَالِكُ بْنُ أَوْسِ بْنِ الْحَدَثَانِ، قَالَ: وَكَانَ مُحَمَّدُ بْنُ جُبَيْرِ بْنِ مُطْعِمٍ ذَكَرَ لِي ذِكْرًا مِنْ حَدِيثِهِ ذَلِكَ فَانْطَلَقْتُ حَتَّى دَخَلْتُ عَلَى مَالِكِ بْنِ أَوْسٍ، فَسَأَلْتُهُ عَنِ الْحَدِيثِ، "
" (26)Yahya ibn ‘Abd Allah ibn Bukayr and ‘Abd Allah ibn Salih related to us from al-Layth ibn Sa^ from ‘Uqayl from Ibn Shihab, who said: Malik ibn Aws ibn al-Hadathan - part of whose present tradition was related to me by Ibn Jubayr ibn Mut‘im (upon hearing which) I went up to Malik ibn Aws, inquiring about the tradition ",
"- said: “While I was sitting, before noon, with the residents of Khaybar there appeared the messenger of ‘Umar ibn al-Khattab and said,","فَقَالَ مَالِكٌ: بَيْنَا أَنَا جَالِسٌ فِي أَهْلِ خَيْبَرَ مَتَعَ النَّهَارُ إِذَا رَسُولُ عُمَرَ بْنِ الْخَطَّابِ، فَقَالَ: أَجِبْ أَمِيرَ الْمُؤْمِنِينَ، فَانْطَلَقْتُ مَعَهُ حَتَّى أُدْخِلَ عَلَى عُمَرَ بْنِ الْخَطَّابِ، فَإِذَا هُوَ جَالِسٌ عَلَى رِمَالِ سَرِيرٍ لَيْسَ بَيْنَهُ فِرَاشٌ، مُتَّكِئٌ عَلَى وِسَادَةٍ مِنْ أَدَمٍ "
"(27) ‘Respond to the call of the Amir al-Mu’minln’, so I accompanied him to 'Umar ibn al-Khattab, who was lying on a cot made of palm twine, reclining on a leather pillow. ",
"I greeted him and then sat down. He said: ‘Come here, O Malik.","فَسَلَّمْتُ عَلَيْهِ ثُمَّ جَلَسْتُ، فَقَالَ: "" هَاهُنَا يَا مَالِكُ"
"We received some (respected) representatives of your people. I have ordered several gifts for them, so take hold of it (the money) and divide it among them.’ I said: ‘O Amir al-Mu’minln, if only you would entrust this to someone besides me.’ He said: ‘Take hold of them, man.’”","إِنَّهُ قَدْ قَدِمَ عَلَيْنَا أَهْلُ أَبْيَاتٍ مِنْ قَوْمِكَ وَقَدْ أَمَرْتُ لَهُمْ بِرَضْخٍ فَاقْبِضْهُ فَاقْسِمْهُ بَيْنَهُمْ، فَقُلْتُ: يَا أَمِيرَ الْمُؤْمِنِينَ، لَوْ أَمَرْتَ بِهِ غَيْرِي، فَقَالَ: اقْبِضْهُ أَيُّهَا الْمَرْءُ،"
"He said: “While I was sitting with him, his doorman Yarft came in and said: ‘Would you permit 'UthmSn, 'Abd al-Rahman ibn 'Awf, al-Zubayr ibn aPAwwam and Sa'd to come in?’ He said: ‘Yes.’ He permitted them, and they entered.","قَالَ: فَبَيْنَا أَنَا جَالِسٌ عِنْدَهُ إِذْ أَتَاهُ حَاجِبُهُ يَرْفَأُ فَقَالَ: هَلْ لَكَ فِي عُثْمَانَ، وَعَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ، وَالزُّبَيْرِ [ص:18] بْنِ الْعَوَّامِ، وَسَعْدٍ، يَسْتَأْذِنُونَ؟ قَالَ: نَعَمْ، فَأَذِنَ لَهُمْ فَدَخَلُوا "
