Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
"Do not harm your soul by experimenting with corrupt views in order to demonstrate their corruption to someone who has consulted you, otherwise you will lose your soul. If you shield yourself from acting in a detestable way, any criticism that can be thrown at you by a man of corrupt beliefs because you disagree with him is better than his respect and better than the bad effect on both of you if you committed these detestable acts.",لا تضر بنفسك في أن تجرب بها الآراء الفاسدة لتري المشير بها فسادها فتهلك فإن ملامة ذي الرأي الفاسد لك على مخالفته وأنت ناج من المكاره خير لك من أن يعذرك ويندم كلاكما وأنت قد حصلت في مكاره.
Guard against taking pleasure in any way that will harm your soul and is not required of you by the religious law nor by virtue.,إياك وأن تسر غيرك بما تسوء به نفسك فيما لم توجبه عليك شريعة أو فضيلة.
Knowledge no longer exists if one has ignored the attributes of the Almighty Great Creator.,وقف العلم عند الجهل بصفات الباري عز وجل.
There is no worse calamity for knowledge and for scholars than when outsiders intrude. They are ignorant and think they are knowledgeable; they ruin everything and believe that they are helping.,لا آفة على العلوم وأهلها أضر من الدخلاء فيها وهم من غير أهلها فإنهم يجهلون ويظنون أنهم يعلمون ويفسدون ويقدرون أنهم يصلحون.
"Anyone who is seeking happiness in the Hereafter, wisdom in this world, the best way to behave, the sum of all moral qualities, the practice of all the virtues, should take as his model Muhammad, the Prophet of God – God grant him blessings and peace – and emulate as far as possible the Prophet’s morals and behaviour. May God help us to take him as an example, by His grace, amen [amen]!","من أراد خير الآخرة وحكمة الدنيا وعدل السيرة والاحتواء على محاسن الأخلاق كلها واستحقاق الفضائل بأسرها فليقتد بمحمد رسول الله صلى الله عليه وسلم وليستعمل أخلاقه وسيره ما أمكنه أعاننا الله على الاتساء به بمنّه، آمين."
The ignorant have annoyed me on two occasions in my lifetime.,غاظني أهل الجهل مرتين من عمري:
"First, when they spoke of things they did not know, at a time when I was equally ignorant; the second time when they kept silent in my presence [in the days when I had learnt something]. In the same way they were always silent about matters which would have benefited them to speak about, and spoke about matters which brought them no benefit.","أحدهما: بكلامهم فيما لا يحسنونه أيام جهلي. والثاني: بسكوتهم عن الكلام بحضرتي، فهم أبدًا ساكتون عما ينفعهم ناطقون فيما يضرهم."
"Scholars have brought me pleasure on two occasions in my lifetime: first, they taught me when I was ignorant; the second time was when they conversed with me after I had been taught.",وسرني أهل العلم مرتين من عمري: أحدهما: بتعليمي أيام جهلي. والثاني: بمذاكرتي أيام عملي.
"One of the merits of religious knowledge and asceticism in this world is that Almighty God does not put it within the reach of anyone except those who are worthy of it and deserve it. One of the disadvantages of the great things of this world, wealth and fame, is that they mostly fall to the lot of people who are unworthy of them and do not deserve them.",من فضل العلم والزهد في الدنيا أنهما لا يؤتيهما الله عز وجل إلا أهلهما ومستحقهما ومن نقص علو أحوال الدنيا من المال والصوت أن أكثر ما يقعان في غير أهلهما وفيمن لا يستحقهما.
"Anyone who is seeking after virtue should keep company with the virtuous and should take no companion with him on his way except the noblest friend, one of those people who is sympathetic, charitable, truthful, sociable, patient, trustworthy, loyal, magnanimous, pure in conscience and a true friend.",من طلب الفضائل لم يساير إلا أهلها ولم يرافق في تلك الطريق إلا أكرم صديق من أهل المواساة والبر والصدق وكرم العشيرة والصبر والوفاء والأمانة والحلم وصفاء الضمائر وصحة المودة.
