The History of al-Tabari,تاريخ الطبري
"According to Hannaad b. al-Sari and Abu Hisham al-Rifaa'i— Abu Bakr b. 'Ayyash —Abu Hasin —Abu Salih —Abu Hurayrah: The Messenger of God said: When I was sent (to transmit the divine message), I and the Hour were like these two, pointing at his index and middle fingers.","حَدَّثَنَا هَنَّادُ بْنُ السَّرِيِّ وَأَبُو هِشَامٍ الرِّفَاعِيُّ، قَالا: حَدَّثَنَا أَبُو بَكْرِ بْنُ عَيَّاشٍ، عَنْ أَبِي حُصَيْنٍ، عَنْ أَبِي صَالِحٍ، عَنْ أَبِي هُرَيْرَةَ، قَالَ: [قَالَ رسول الله ص: بعثت انا وَالسَّاعَةَ كَهَاتَيْنِ- وَأَشَارَ بِالسَّبَّابَةِ وَالْوُسْطَى]."
We were told about the same by Abu Kurayb —Yahya b. Adam —Abu Bakr—Abu Hasiin—Abu Salih—Abu Hurayrah— the Prophet.,"حَدَّثَنَا أَبُو كريب، حَدَّثَنَا يَحْيَى بْنُ آدَمَ، عَنْ أَبِي بَكْرٍ، عَنْ أَبِي حُصَيْنٍ، عَنْ أَبِي صَالِحٍ، عَنْ ابى هريرة، عن النبي بِنَحْوِهِ."
"According to Hannaad—Abu al-Ahwas and Abu Mu'awiyah—al-A'mash—Abu Khalid al-Walibi —Jabir b. Samurah: The Messenger of God said: When I was sent, I and the Hour were like these two.","حَدَّثَنَا هَنَّادٌ، قَالَ: حَدَّثَنَا أَبُو الأَحْوَصِ وَأَبُو مُعَاوِيَةَ، عَنِ الأَعْمَشِ، عَنْ أَبِي خَالِدٍ الْوَالِبِيِّ، عَنْ جَابِرِ بْنِ سَمُرَةَ، قَالَ: [قَالَ رسول الله ص: بُعِثْتُ أَنَا وَالسَّاعَةَ كَهَاتَيْنِ]."
"According to Abu Kurayb—'Aththaam b. 'Ali —al-A'mash — Abu Khalid al-Walibi—Jabir b. Samurah: (I feel) as if I were looking at the two fingers of the Messenger of God—pointing to the forefinger and the one next to it—while he was saying: When I was sent, I and the Hour were like this one is in relation to that one.","حَدَّثَنَا أَبُو كُرَيْبٍ، قَالَ: حَدَّثَنَا عَثَّامُ بْنُ عَلِيٍّ، عَنِ الأَعْمَشِ، عَنْ أَبِي خَالِدٍ الْوَالِبِيِّ، عَنْ جَابِرِ بْنِ سَمُرَةَ، [قَالَ: كَأَنِّي أَنْظُرُ إِلَى إِصْبَعَيْ رَسُولِ الله ص -وَأَشَارَ بِالْمُسَبِّحَةِ وَالَّتِي تَلِيهَا- وَهُوَ يَقُولُ:"
,بُعِثْتُ أَنَا وَالسَّاعَةَ كَهَذِهِ مِنْ هَذِهِ].
"According to Ibn Humayd—Yahya b. Wadih—Fitr —Abu Khalid al-Walibi—Jabir b. Samurah: The Messenger of God said: When I was sent, I and the Hour were like these two—holding his index and middle fingers together.","حَدَّثَنَا ابْنُ حُمَيْدٍ، قَالَ: حَدَّثَنِي يَحْيَى بْنُ وَاضِحٍ، قَالَ: حدثنا فطر، عَنْ أَبِي خَالِدٍ الْوَالِبِيِّ، عَنْ جَابِرِ بْنِ سمره، قال: [قال رسول الله ص: بُعِثْتُ مِنَ السَّاعَةِ كَهَاتَيْنِ]- وَجَمَعَ بَيْنَ إِصْبَعَيْهِ السبابة والوسطى."
"According to Ibn al-Muthanna—Muhammad b. Ja'far — Shu'bah —Qatadah—Anas b. Malik: The Messenger of God said: When I was sent, I and the Hour were like these two. Shu'bah said: I heard Qatadah say in his stories (qisasihii): like the excess length of the one over the other.","حَدَّثَنَا ابْنُ الْمُثَنَّى، قَالَ: حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ، قَالَ: حَدَّثَنَا شُعْبَةُ، قَالَ: سَمِعْتُ قَتَادَةَ يُحَدِّثُ، قَالَ: حَدَّثَنَا أَنَسُ بْنُ مَالِكٍ، قَالَ: [قال رسول الله ص: بُعِثْتُ أَنَا وَالسَّاعَةَ كَهَاتَيْنِ]"
(Shu'bah) added: I do not know whether (Qatadah) mentioned it on the authority of Anas or reported it on his own.,قَالَ شُعْبَةُ:
,"سَمِعْتُ قَتَادَةَ يَقُولُ فِي قَصَصِهِ: كَفَضْلِ إِحْدَاهُمَا عَلَى الأُخْرَى، قَالَ: لا أَدْرِي أَذَكَرَهُ عَنْ أَنَسٍ أَوْ قَالَهُ قَتَادَةُ."
"According to Khallaad b. Aslam —al-Nadr b. Shumayl — Shu'bah—Qatadah—Anas b. Malik: The Messenger of God said: When I was sent, I and the Hour were like these two.","حَدَّثَنَا خَلادُ بْنُ أَسْلَمَ، قَالَ: حَدَّثَنَا النَّضْرُ بْنُ شُمَيْلٍ، قَالَ:"
,"حَدَّثَنَا شُعْبَةُ، عَنْ قَتَادَةَ، قَالَ: حَدَّثَنَا أَنَسُ بْنُ مالك، قال: [قال رسول الله ص: بُعِثْتُ أَنَا وَالسَّاعَةَ كَهَاتَيْنِ]."
"We were told the same by Mujahid b. Musa —Yaziid — Shu'bah—Qatadah—Anas b. Malik—the Prophet, with the addition in his hadith: and he pointed with the middle and index fingers.","حَدَّثَنَا مُجَاهِدُ بْنُ مُوسَى، قَالَ: حَدَّثَنَا يَزِيدُ، قَالَ: حَدَّثَنَا شُعْبَةُ، عَنْ قَتَادَةَ، عَنْ أَنَسِ بْنِ مَالِكٍ، عَنِ النبي ص مِثْلَهُ، وَزَادَ فِي حَدِيثِهِ:"
,وَأَشَارَ بِالْوُسْطَى وَالسَّبَّابَةِ.
"According to Muhammad b. 'Abdallah b. 'Abd al-Hakam — Ayyub b. Suwayd —al-Awzaa'i —Isma'il b. Ubaydallah: When Anas b. Malik came to al-Walid b. 'Abd al-Malik, al-Walid asked him: What have you heard the Messenger of God mention about the Hour? Anas replied: I heard the Messenger of God say: You (pl.) and the Hour are like these two—pointing with his two fingers.","حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ اللَّهِ بْنِ عَبْدِ الْحَكَمِ، قَالَ: حَدَّثَنَا أَيُّوبُ بْنُ سُوَيْدٍ، عَنِ الأوزاعي، قال: حدثنا اسمعيل بْنُ عُبَيْدِ اللَّهِ، قَالَ: قَدِمَ أَنَسُ بْنُ مَالِكٍ عَلَى الْوَلِيدِ بْنِ عَبْدِ الْمَلِكِ، فَقَالَ له الوليد: ماذا سمعت رسول الله ص يَذْكُرُ بِهِ السَّاعَةَ؟ قَالَ: [سَمِعْتُ رَسُولَ اللَّهِ ص يَقُولُ:"
,"أَنْتُمْ وَالسَّاعَةَ كَهَاتَيْنِ،] وَأَشَارَ بِإِصْبَعَيْهِ."
"According to al-'Abbas b. al-Walid —his father—al-Awzaa'i— Isma'il b. Ubaydallah: When Anas b. Malik came to al-Walid b. 'Abd al-Malik, al-Walid asked him: What have you heard the Messenger of God mention about the Hour? Anas replied: I heard the Messenger of God say: All of you and the Hour are like these two.","حَدَّثَنِي الْعَبَّاسُ بْنُ الْوَلِيدِ، قَالَ: أَخْبَرَنِي أَبِي، قَالَ: حدثنا الأوزاعي، قال: حدثنى اسمعيل بْنُ عُبَيْدِ اللَّهِ، قَالَ: قَدِمَ أَنَسُ بْنُ مَالِكٍ عَلَى الْوَلِيدِ بْنِ عَبْدِ الْمَلِكِ، فَقَالَ لَهُ الْوَلِيدُ: مَاذَا سَمِعْتَ مِنْ رَسُولِ اللَّهِ ص يَذْكُرُ بِهِ السَّاعَةَ؟ [قَالَ: سَمِعْتُ رَسُولَ اللَّهِ ص يقول: أنتم والساعة كتين]."
"According to Ibn Abd al-Rahim al-Barqi —'Amr b. Abi Salamah —al-Awzaa'i—Isma'il b. Ubaydallah: When Anas b. Malik came to al-Walid b. 'Abd al-Malik, and so on.","حَدَّثَنِي ابْنُ عَبْدِ الرَّحِيمِ الْبَرْقِيُّ، قَالَ: حَدَّثَنَا عَمْرُو بْنُ أَبِي سَلَمَةَ، عن الأوزاعي، قال: حدثنى اسمعيل بْنُ عُبَيْدِ اللَّهِ، قَالَ: قَدِمَ أَنَسُ بْنُ مَالِكٍ عَلَى الْوَلِيدِ بْنِ عَبْدِ الْمَلِكِ، فَذَكَرَ مِثْلَهُ حَدَّثَنِي مُحَمَّدُ بْنُ عَبْدِ الأَعْلَى، قَالَ: حَدَّثَنَا الْمُعْتَمِرُ بْنُ سُلَيْمَانَ، عَنْ أَبِيهِ، قَالَ: حَدَّثَنِي مَعْبَدٌ، حَدَّثَ أَنَسٌ، [عَنْ رَسُولِ اللَّهِ ص أَنَّهُ قَالَ: بُعِثْتُ أَنَا وَالسَّاعَةَ كَهَاتَيْنِ،] وَقَالَ بِإِصْبَعَيْهِ: هَكَذَا."
